position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
55|1393|HINDUJA FAMILY|19.5|0.001|Diversified |diversified|999|Unknown|https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165
56|7843|TADASHI YANAI|19.5|0.0|Fashion & Retail |fashion retail|69|Male|https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501
57|6273|VLADIMIR LISIN|19.1|0.0|Metals & Mining |steel, transport|62|Male|https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012
58|2247|LAURENE POWELL JOBS|18.8|0.0|Philanthropy/NGO |Apple, Disney|54|Female|https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333
59|7060|AZIM PREMJI|18.8|0.0|Technology |software services|72|Male|https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592
60|2131|ALEXEY MORDASHOV|18.7|0.0|Metals & Mining |steel, investments|52|Male|https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667
61|4644|LEE KUN-HEE|18.6|0.0|Diversified |Samsung|76|Unknown|https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737
62|7059|LAKSHMI MITTAL|18.5|0.001|Metals & Mining |steel|68|Unknown|https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359
63|5986|WANG WEI|18.2|0.0|Service |package delivery|48|Male|https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834
64|4906|LEONID MIKHELSON|18.0|0.0|Energy |gas, chemicals|62|Male|https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522
